,Title,Created at,Vendor,URL,Product Type,variants_title,SKU,Price,ComparePrice
17,"Wasserstein 3-in-1 Plugged-in Floodlight, Charger, and Mount with 24.6ft(7.5m) External Adaptor for Arlo Pro 3/Pro 4 & Arlo Ultra/Ultra 2 - AC 110-220V",2021-10-18T23:33:41-07:00,Wasserstein,wasserstein-3-in-1-plugged-in-floodlight-charger-and-mount-with-24-6ft7-5m-external-adaptor-for-arlo-pro-3-pro-4-arlo-ultra-ultra-2-ac-110-220v,Arlo-Plug-Floodlight,Default Title,ArUtrFldAdpWhtUS,64.99,69.99
18,Wasserstein 35° to 55° Horizontal Adjustable Angle Mount and Wall Plate for Wyze Video Doorbell,2021-10-13T03:39:26-07:00,Wasserstein,wasserstein-horizontal-adjustable-angle-mount-and-wall-plate-for-wyze-video-doorbell-35-to-55-adjustment,,Default Title,WyzeDBHorWedgeUS,10.99,13.99
19,Wasserstein 0° to 15° Vertical Adjustable Angle Mount and Wall Plate for Wyze Video Doorbell,2021-10-13T03:27:01-07:00,Wasserstein,wasserstein-vertical-adjustable-angle-mount-and-wall-plate-for-wyze-video-doorbell-0-to-15-adjustment,,Default Title,WyzeDBVerWedgeUS,11.99,14.99
20,Wasserstein Wall Plate for Wyze Video Doorbell,2021-10-13T03:00:52-07:00,Wasserstein,wall-plate-for-wyze-video-doorbell-weather-resistant-wyze-video-doorbell-camera-mount-by-wasserstein,,Default Title,WyzeDBWallPlateUS,8.99,11.99
21,"Dartwood Heated Socks with Rechargeable Electric Battery for Men & Women - Perfect Winter Gift Foot Warmer for Skiing, Fishing, Camping, and Outdoor Use",2021-10-15T00:53:13-07:00,Dartwood,dartwood-heated-socks-with-rechargeable-electric-battery-for-men-women-perfect-winter-gift-foot-warmer-for-skiing-fishing-camping-and-outdoor-use,Dart-Heated-Socks,Default Title,HeatedSocksUS,45.99,62.99
22,Wasserstein Adjustable Stand for Google Nest Hub (2nd Gen) - Made for Google Nest,2021-10-05T23:17:28-07:00,Wasserstein,adjustable-stand-for-google-nest-hub-2nd-gen-made-for-google,Google-Nest-Hub-2nd-Gen,Chalk,NestHub2GenStandWhtUS,22.99,
23,"Dartwood Heated Vest with Adjustable Temperature Level - Jackets for Men & Women (9 Heating Spots) - Perfect Winter Gift for Skiing, Fishing, Camping, Hunting, and Outdoor Use",2021-10-06T20:38:05-07:00,Dartwood,dartwood-heated-vest-with-adjustable-temperature-level-jackets-for-men-women-9-heating-spots-perfect-winter-gift-for-skiing-fishing-camping-hunting-and-outdoor-use,Dart-Heated-Vest,Default Title,HeatedVestUS,50.99,64.99
24,Dartwood Portable 5200mAh Electric Pocket Hand Warmers Power Bank,2021-10-06T00:52:06-07:00,Dartwood,dartwood-portable-5200mah-electric-pocket-hand-warmers-powerbank,Dart-HandWarmers,Default Title,HandWarmerBlkUS,22.99,29.99
25,"Wasserstein 3-in-1 Wired Smart Floodlight, Charger and Mount for Blink Outdoor & Blink XT2 Camera - With Motion Sensor and Timer Control",2021-10-04T02:34:54-07:00,Wasserstein,wasserstein-3-in-1-smart-floodlight-charger-and-mount-compatible-with-blink-outdoor-blink-xt2-camera-with-motion-sensor-and-timer-control-blink-camera-not-included,Blink-Outdoor/XT2-Smt-Floodlight,Default Title,BlinkOutSmtFldBlkUS,64.99,69.99
26,Wasserstein 2-in-1 Floodlight and Solar Panel Charger for Wyze Cam Outdoor (White) (Outdoor Security Camera NOT Included),2021-09-26T20:13:32-07:00,Wasserstein,wasserstein-2-in-1-floodlight-and-solar-panel-charger-compatible-with-wyze-cam-outdoor-white-outdoor-security-camera-not-included,Wyze-Cam-Outdoor-Floodlight,Default Title,WyzeOutSoFldLigWhtUS,54.99,69.99
